HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:0000003|Multicystic kidney dysplasia|多囊性肾发育不良|多囊性肾发育不良的特征是肾脏内存在多个大小不一的囊肿，且缺乏正常的肾盂肾盏系统。该病常伴有输尿管或肾盂输尿管闭锁，受累肾脏无功能。
HP:0000005|Mode of inheritance|遗传模式|特定遗传性状或疾病的遗传模式。
HP:0000006|Autosomal dominant inheritance|常染色体显性遗传|一种遗传模式，涉及由常染色体（即人类1-22号染色体）上的基因编码的性状，该性状在杂合子中表现。在医学遗传学中，当存在单个突变等位基因时，即可导致常染色体显性遗传病。男性和女性患病率相同，且均可将疾病传递给后代，每个孩子继承突变等位基因的风险为50%。
HP:0000007|Autosomal recessive inheritance|常染色体隐性遗传|一种遗传模式，见于与常染色体（即人类1-22号染色体）上编码的基因相关的性状，该性状在携带两个致病等位基因的个体中表现，无论是纯合子（两个相同的突变等位基因）还是复合杂合子（即基因的两个拷贝各有一个不同的突变等位基因）。
HP:0000008|Abnormal morphology of female internal genitalia|女性内生殖器形态异常|女性内生殖器异常。
HP:0000009|Functional abnormality of the bladder|膀胱功能障碍|膀胱功能障碍。
HP:0000010|Recurrent urinary tract infections|复发性尿路感染|复发性尿路感染。
HP:0000011|Neurogenic bladder|神经源性膀胱|一种由神经损伤引起的膀胱功能障碍。神经源性膀胱可分为弛缓性或痉挛性。神经源性膀胱的常见表现包括溢出性尿失禁、尿频、尿急、急迫性尿失禁和尿潴留。
HP:0000012|Urinary urgency|尿急|急迫性尿失禁是指强烈且突然的排尿需求。
HP:0000013|Hypoplasia of the uterus|子宫发育不全|子宫发育不全（Uterine Hypoplasia）。
HP:0000014|Abnormality of the bladder|膀胱异常|膀胱异常。
HP:0000015|Bladder diverticulum|膀胱憩室|膀胱壁憩室（囊袋或囊状结构）。
HP:0000016|Urinary retention|尿潴留|排尿过程中无法完全排空膀胱。
HP:0000017|Nocturia|夜尿症|Nocturnal polyuria resulting in nocturia.
HP:0000019|Urinary hesitancy|排尿困难|排尿起始困难。
HP:0000020|Urinary incontinence|尿失禁|尿失禁（Urinary Incontinence）
HP:0000021|Megacystis|巨膀胱症|产后膀胱扩张。
HP:0000022|Abnormal male internal genitalia morphology|男性内生殖器形态异常|男性内生殖器异常。
HP:0000023|Inguinal hernia|腹股沟疝|腹内容物经腹股沟管突出。
HP:0000024|Prostatitis|前列腺炎|前列腺炎的存在。
HP:0000025|Functional abnormality of male internal genitalia|男性内生殖器功能障碍|-
HP:0000026|Male hypogonadism|男性性腺功能减退症|男性性腺功能减退，即睾丸功能减退，伴随精子生成减少或睾酮合成降低。
HP:0000027|Azoospermia|无精子症|精液中无任何可测量水平的精子，即使在精液沉淀物离心后仍无法观察到精子。
HP:0000028|Cryptorchidism|隐睾症|睾丸位于腹股沟管内。即由于睾丸未能通过腹股沟管下降至阴囊，导致一侧或双侧睾丸未在阴囊内。
HP:0000029|Testicular atrophy|睾丸萎缩|睾丸（男性性腺）萎缩（消耗性萎缩），表现为体积缩小，并可能导致生育能力丧失。
HP:0000030|Testicular gonadoblastoma|睾丸性腺母细胞瘤|睾丸性腺母细胞瘤的存在。
HP:0000031|Epididymitis|附睾炎|附睾炎的存在。
HP:0000032|Abnormal male external genitalia morphology|男性外生殖器形态异常|男性外生殖器结构异常。
HP:0000033|Ambiguous genitalia, male|性别发育异常，男性型|XY遗传性别个体的生殖器模糊。
HP:0000034|Hydrocele testis|睾丸鞘膜积液|睾丸鞘膜腔内透明液体积聚。
HP:0000035|Abnormal testis morphology|睾丸形态异常|睾丸异常（男性性腺异常）。
HP:0000036|Abnormal penis morphology|阴茎形态异常|男性外生殖器异常。
HP:0000037|Male pseudohermaphroditism|男性假两性畸形|两性畸形（Hermaphroditism）指的是性腺形态与外生殖器形态之间的不一致性。在男性假两性畸形（Male Pseudohermaphroditism）中，基因型为男性（XY），而外生殖器表现为不完全男性化、性别模糊或完全女性化。若存在性腺，则为睾丸。
HP:0000039|Epispadias|尿道上裂|尿道上裂是一种泌尿生殖系统畸形，其特征为尿道管在背侧未能管状化。与尿道下裂（尿道口位于腹侧）不同，尿道上裂患儿的背侧存在广泛开放的尿道板。该畸形通常作为膀胱外翻-尿道上裂复合体的一部分出现。孤立性尿道上裂在所有尿道上裂病例中所占比例不足10%。
HP:0000040|Long penis|阴茎延长|阴茎长度超过同龄平均值2个标准差以上。
HP:0000041|Chordee|阴茎弯曲|阴茎干和龟头向腹侧、外侧或腹外侧弯曲超过30度。
HP:0000042|Absent external genitalia|外生殖器缺失|Absence of external genitalia in a male or female individual.
HP:0000044|Hypogonadotropic hypogonadism|低促性腺激素性性腺功能减退症|低促性腺激素性性腺功能减退症的特征是性腺（男性为睾丸，女性为卵巢）功能减退，其原因是缺乏刺激性腺的垂体激素：促卵泡激素（FSH）和促黄体生成激素（LH）。
HP:0000045|Abnormal scrotum morphology|异常阴囊形态|阴囊（即包含睾丸、附睾和精索下部的囊状结构）的任何结构异常。
HP:0000046|Small scrotum|小阴囊|年龄相关性小阴囊症。
HP:0000047|Hypospadias|尿道下裂|尿道口异常位于阴茎腹侧（下方），其特征为尿道口从阴茎头端移位至阴茎腹侧、阴囊或会阴部。
HP:0000048|Bifid scrotum|双裂阴囊|阴囊中线凹陷或裂痕。
HP:0000049|Shawl scrotum|披肩状阴囊|阴囊上缘位于阴茎基底上方。
HP:0000050|Hypoplastic male external genitalia|男性外生殖器发育不全|部分或全部男性外生殖器官（包括阴茎、阴囊和尿道）发育不全。
HP:0000051|Perineal hypospadias|会阴型尿道下裂|尿道下裂伴尿道口位于会阴区。
HP:0000052|Urethral atresia, male|男性尿道闭锁|先天性尿道闭锁或尿道口发育不全。
HP:0000053|Macroorchidism|巨睾症|巨睾症（Macroorchidism）
HP:0000054|Micropenis|小阴茎|阴茎异常短小。出生时，正常阴茎长度约为3厘米（从耻骨结节至阴茎尖端的拉伸长度），而小阴茎则小于2.0-2.5厘米。
HP:0000055|Abnormal female external genitalia morphology|女性外生殖器形态异常|女性外生殖器结构异常。
HP:0000056|Abnormal clitoris morphology|异常阴蒂形态|阴蒂结构异常。
HP:0000057|obsolete Clitoromegaly|过时的术语：阴蒂肥大|-
HP:0000058|Abnormal labia morphology|异常阴唇形态|阴唇异常，即外阴外部可见部分的异常。
HP:0000059|Hypoplastic labia majora|大阴唇发育不全|小阴唇发育不全。
HP:0000060|Clitoral hypoplasia|阴蒂发育不全|阴蒂发育不全。
HP:0000061|Ambiguous genitalia, female|性别发育异常，女性型|XX遗传性别个体的生殖器模糊。
HP:0000062|Ambiguous genitalia|生殖器性别不明|一种无法明确归属于单一性别的生殖器表型。模糊生殖器可通过Prader量表进行评估：Prader 0：正常女性外生殖器。Prader 1：女性外生殖器伴阴蒂肥大。Prader 2：阴蒂肥大伴部分阴唇融合，形成漏斗形泌尿生殖窦。Prader 3：阴茎增大明显，完全阴唇阴囊融合，形成单一开口的泌尿生殖窦。Prader 4：完全阴囊融合，泌尿生殖开口位于阴茎基部或阴茎干。Prader 5：正常男性外生殖器。模糊生殖器的诊断适用于Prader 1-4。
HP:0000063|Fused labia minora|小阴唇粘连|小阴唇粘连导致的小阴唇融合，进而引起阴道阻塞。
HP:0000064|Hypoplastic labia minora|小阴唇发育不全|-
HP:0000065|Labial hypertrophy|阴唇肥大|-
HP:0000066|Labial hypoplasia|阴唇发育不全|-
HP:0000067|Urethral atresia, female|女性尿道闭锁|女性尿道闭锁或尿道开口发育不全的先天性异常。
HP:0000068|Urethral atresia|尿道闭锁|先天性尿道闭锁或尿道口发育不全。
HP:0000069|Abnormality of the ureter|输尿管异常|输尿管异常。输尿管是尿液从肾脏输送至膀胱的管道。
HP:0000070|Ureterocele|输尿管囊肿|输尿管囊肿是一种先天性远端输尿管囊状扩张。
HP:0000071|Ureteral stenosis|输尿管狭窄|输尿管狭窄（即输尿管缩窄）的存在。
HP:0000072|Hydroureter|输尿管积水|输尿管尿液扩张。
HP:0000073|Ureteral duplication|输尿管重复畸形|一种发育异常，其特征是存在两条而非一条输尿管将肾脏与膀胱连接。
HP:0000074|Ureteropelvic junction obstruction|输尿管肾盂连接部梗阻|肾盂至近端输尿管尿流梗阻。
HP:0000075|Renal duplication|肾重复畸形|先天性尿路畸形，表现为肾脏重复畸形，并通过两个独立的肾盂和输尿管引流。
HP:0000076|Vesicoureteral reflux|膀胱输尿管反流|尿液从膀胱异常（逆行）流入输尿管或肾脏，与输尿管膀胱连接处瓣膜机制功能不全或其他原因相关。
HP:0000077|Abnormality of the kidney|肾异常|肾脏异常
HP:0000078|Abnormality of the genital system|生殖系统异常|生殖系统异常。
HP:0000079|Abnormality of the urinary system|泌尿系统异常|泌尿系统异常。
